socialmedia,age,mobile,season,newcustomer,adcost,adrevenue
Facebook,25,mobile,summer,no,3.47,4.58
TikTok,16,mobile,summer,yes,2.73,1.97
Facebook,27,mobile,fall,no,5.66,14.55
YouTube,26,computer,fall,no,7.33,31.46
Facebook,13,mobile,winter,no,6.82,5.72
Instagram,29,mobile,fall,no,7.16,4.16
YouTube,20,computer,fall,no,13.0,13.25
YouTube,27,computer,winter,yes,12.95,49.87
Facebook,34,computer,summer,no,3.54,17.26
YouTube,27,computer,spring,yes,10.89,49.44
YouTube,26,computer,spring,no,13.07,13.92
TikTok,18,mobile,summer,no,7.28,4.74
YouTube,30,computer,summer,no,8.85,62.64
TikTok,19,mobile,summer,yes,5.88,13.45
YouTube,31,computer,summer,no,6.64,17.56
TikTok,19,mobile,summer,no,3.09,12.83
YouTube,26,computer,summer,yes,11.33,40.42
YouTube,28,mobile,fall,no,10.75,11.75
YouTube,33,computer,summer,no,8.2,25.3
Twitter,35,mobile,spring,no,1.96,3.89
YouTube,36,computer,spring,yes,6.49,11.73
TikTok,23,mobile,summer,no,0.5,5.44
Facebook,37,computer,spring,no,5.1,6.62
Instagram,31,computer,spring,no,3.67,13.73
YouTube,43,computer,spring,yes,10.56,27.52
Facebook,18,computer,spring,yes,6.35,4.7
YouTube,34,computer,spring,no,13.98,13.7
TikTok,16,mobile,spring,no,3.48,4.21
YouTube,22,mobile,fall,no,5.38,6.77
Twitter,38,mobile,fall,yes,1.73,12.06
TikTok,14,mobile,winter,no,6.89,4.63
TikTok,23,mobile,winter,yes,7.06,60.16
YouTube,27,computer,fall,no,12.18,122.8
Facebook,40,computer,spring,no,4.06,2.16
TikTok,19,mobile,summer,no,7.66,12.68
TikTok,22,mobile,spring,yes,0.49,0.85
TikTok,20,mobile,fall,no,6.16,30.0
TikTok,20,mobile,summer,yes,2.89,4.14
TikTok,22,mobile,fall,yes,5.94,4.35
Instagram,30,mobile,winter,yes,7.2,20.49
Twitter,30,mobile,spring,no,3.13,1.49
Facebook,40,computer,spring,no,3.59,3.61
TikTok,17,mobile,spring,yes,6.69,24.87
Twitter,39,mobile,fall,no,3.0,10.56
Twitter,45,mobile,winter,yes,3.49,3.51
YouTube,41,computer,spring,no,9.08,5.84
TikTok,22,mobile,spring,no,1.2,5.58
YouTube,36,computer,spring,yes,10.94,20.89
TikTok,16,mobile,summer,no,1.58,0.35
YouTube,25,computer,summer,yes,11.34,30.64
Facebook,14,computer,winter,no,5.5,5.3
YouTube,28,mobile,winter,yes,7.8,1.2
Instagram,31,mobile,fall,no,4.69,19.21
YouTube,48,mobile,summer,no,6.98,1.73
TikTok,16,mobile,fall,no,0.86,3.19
YouTube,28,computer,summer,no,8.48,16.71
Instagram,26,computer,winter,yes,8.36,9.67
YouTube,30,computer,spring,yes,14.69,3.59
Instagram,20,mobile,winter,no,7.49,3.91
YouTube,25,computer,fall,yes,8.65,9.38
Instagram,21,mobile,winter,no,7.85,5.88
TikTok,26,mobile,winter,no,2.54,6.4
YouTube,16,mobile,summer,yes,11.36,2.79
Instagram,33,mobile,spring,no,6.37,12.32
Facebook,17,mobile,summer,no,2.19,2.14
Facebook,32,mobile,fall,no,5.55,10.44
TikTok,22,mobile,spring,no,6.58,6.95
Twitter,33,computer,fall,no,1.34,2.44
Instagram,38,mobile,fall,no,8.23,9.74
TikTok,20,mobile,fall,yes,2.12,1.72
Instagram,27,computer,winter,no,5.07,1.28
YouTube,27,computer,fall,no,5.33,17.09
Instagram,24,mobile,winter,no,3.66,15.33
Facebook,22,computer,fall,no,2.05,2.56
YouTube,21,mobile,winter,no,11.01,4.71
Facebook,45,mobile,spring,no,4.59,4.56
Instagram,16,mobile,winter,yes,3.1,0.71
Facebook,20,mobile,summer,no,5.09,8.2
Facebook,28,mobile,fall,no,3.09,13.41
TikTok,19,mobile,winter,no,2.36,2.51
Instagram,23,mobile,spring,no,7.48,12.59
TikTok,20,mobile,spring,no,5.91,20.4
TikTok,21,mobile,spring,yes,2.77,1.23
Instagram,34,mobile,spring,no,4.92,1.9
TikTok,15,mobile,summer,yes,6.11,4.4
YouTube,34,computer,winter,no,6.53,30.43
YouTube,30,computer,winter,yes,14.8,32.26
Instagram,27,mobile,fall,no,4.78,8.28
Twitter,40,mobile,fall,no,2.27,1.88
YouTube,41,computer,winter,no,11.87,17.01
Instagram,23,computer,spring,yes,8.52,17.53
TikTok,15,mobile,winter,yes,5.08,2.53
Facebook,46,mobile,summer,yes,4.52,4.36
TikTok,14,mobile,winter,no,2.06,12.24
Twitter,44,mobile,fall,no,1.2,4.64
TikTok,18,mobile,summer,no,2.19,5.07
Facebook,24,computer,winter,no,6.66,9.55
Instagram,32,mobile,spring,yes,8.98,3.05
YouTube,28,mobile,winter,no,10.89,3.63
YouTube,33,computer,summer,yes,9.6,14.73
Instagram,28,mobile,fall,yes,8.14,5.34
YouTube,41,mobile,spring,yes,11.34,8.01
YouTube,41,computer,winter,no,10.1,20.75
YouTube,20,mobile,fall,yes,6.97,15.62
YouTube,24,mobile,spring,yes,8.59,7.55
Facebook,31,mobile,spring,no,2.35,14.58
Instagram,19,mobile,fall,no,6.9,1.93
Facebook,27,computer,spring,no,5.41,1.73
Facebook,33,mobile,summer,no,2.44,5.58
Facebook,40,mobile,summer,no,3.49,5.27
TikTok,16,mobile,fall,no,4.97,28.78
TikTok,22,mobile,fall,yes,2.62,13.58
Instagram,29,mobile,winter,yes,5.92,11.91
YouTube,42,computer,spring,no,7.75,36.24
YouTube,32,computer,fall,no,12.14,27.18
Instagram,34,mobile,winter,no,7.1,20.25
TikTok,16,mobile,summer,no,4.54,9.22
YouTube,27,computer,winter,no,10.92,31.57
TikTok,19,mobile,spring,yes,6.28,8.87
TikTok,20,mobile,spring,no,4.43,0.33
YouTube,47,computer,fall,yes,9.45,11.51
Facebook,29,computer,winter,no,2.46,10.01
YouTube,37,computer,spring,no,5.79,20.43
YouTube,31,computer,summer,no,13.65,2.74
Facebook,41,mobile,fall,no,3.59,4.45
TikTok,20,mobile,spring,no,2.43,9.18
YouTube,41,mobile,summer,no,5.79,6.33
YouTube,27,computer,summer,no,5.08,10.6
Instagram,28,mobile,fall,no,3.73,8.98
YouTube,16,computer,fall,no,9.07,7.99
TikTok,25,mobile,winter,no,4.74,15.5
YouTube,25,computer,summer,yes,9.24,27.2
TikTok,16,mobile,winter,yes,1.38,7.89
YouTube,29,computer,spring,no,9.27,3.9
Instagram,31,mobile,summer,yes,6.19,1.9
Instagram,27,mobile,summer,no,5.41,22.29
TikTok,24,mobile,winter,yes,6.45,6.58
Facebook,26,mobile,spring,no,4.88,4.62
TikTok,14,mobile,fall,no,4.16,5.04
TikTok,22,mobile,spring,no,6.5,6.02
TikTok,24,mobile,winter,yes,5.17,22.12
Facebook,39,mobile,fall,no,5.75,1.35
YouTube,29,computer,spring,no,14.54,19.76
Facebook,34,mobile,fall,no,4.19,2.86
Instagram,25,computer,winter,yes,7.78,4.94
Twitter,41,computer,spring,no,1.43,6.29
Instagram,28,mobile,summer,no,8.04,8.51
Instagram,25,mobile,summer,no,3.71,12.93
