"","Gender","Age","Amount"
"1","M","51-55",9823
"2","M","55+",7944
"3","M","26-35",4450
"4","M","51-55",15264
"5","M","46-50",11823
"6","F","46-50",19269
"7","F","36-45",5205
"8","M","36-45",11649
"9","M","26-35",3531
"10","M","26-35",12461
"11","F","46-50",23396
"12","M","36-45",15417
"13","M","26-35",15604
"14","M","18-25",19305
"15","M","26-35",2183
"16","M","18-25",13259
"17","M","36-45",5215
"18","F","36-45",16439
"19","M","26-35",8809
"20","M","51-55",18959
"21","M","26-35",3471
"22","M","18-25",7903
"23","M","46-50",21475
"24","M","18-25",6081
"25","M","18-25",12925
"26","F","51-55",9723
"27","M","18-25",15866
"28","M","26-35",11573
"29","F","36-45",5913
"30","M","18-25",6933
"31","F","18-25",1849
