id,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
1803165,Manhattan,Entire home,799,6,40,0.58,365
13410813,Queens,Entire home,120,3,40,1.45,365
941179,Brooklyn,Entire home,150,2,42,0.72,365
1256768,Brooklyn,Entire home,147,7,42,0.61,365
7816449,Manhattan,Entire home,500,7,44,0.94,365
3415102,Brooklyn,Entire home,500,2,48,0.8,365
272044,Manhattan,Entire home,299,3,49,0.53,365
4366049,Brooklyn,Entire home,180,3,50,0.97,365
8777936,Brooklyn,Entire home,250,1,50,1.46,365
414801,Brooklyn,Entire home,500,1,54,0.65,365
7983640,Brooklyn,Entire home,250,1,54,1.15,365
8849684,Brooklyn,Entire home,105,1,54,1.19,365
651648,Brooklyn,Entire home,200,3,56,0.96,365
8255964,Brooklyn,Entire home,150,4,61,1.33,365
607735,Brooklyn,Entire home,300,30,63,0.77,365
1534212,Brooklyn,Entire home,99,3,66,1.05,365
4660022,Manhattan,Entire home,895,1,66,1.18,365
9374263,Queens,Entire home,200,30,68,1.66,365
538590,Queens,Entire home,150,3,74,0.87,365
5507784,Brooklyn,Entire home,165,1,75,1.45,365
7728553,Brooklyn,Entire home,150,1,78,2.22,365
6256470,Bronx,Entire home,105,2,80,1.66,365
4339924,Brooklyn,Entire home,200,90,91,1.59,365
22400368,Bronx,Entire home,60,1,104,5.61,365
1098863,Brooklyn,Entire home,125,2,116,1.55,365
103806,Manhattan,Entire home,249,5,166,1.68,365
60611,Manhattan,Entire home,125,28,183,1.83,365
2160591,Brooklyn,Private room,70,3,40,0.63,365
4093399,Bronx,Private room,68,2,41,0.74,365
26984883,Brooklyn,Private room,95,2,41,3.5,365
94035,Queens,Private room,80,1,42,1.21,365
158290,Brooklyn,Private room,75,3,43,0.44,365
21139541,Queens,Private room,43,2,43,1.99,365
23021186,Brooklyn,Private room,100,1,43,2.65,365
26884320,Brooklyn,Private room,109,30,43,3.72,365
26992139,Queens,Private room,70,5,43,3.61,365
1059891,Manhattan,Private room,150,7,44,0.74,365
13184355,Brooklyn,Private room,85,1,44,1.26,365
63546,Brooklyn,Private room,39,1,45,0.46,365
19385941,Queens,Private room,120,2,45,1.87,365
1844705,Brooklyn,Private room,89,90,47,0.73,365
15970318,Queens,Private room,65,1,47,1.48,365
16869999,Manhattan,Private room,55,1,48,1.68,365
6077354,Queens,Private room,100,2,49,0.96,365
12025076,Manhattan,Private room,68,1,49,1.23,365
3914773,Manhattan,Private room,150,3,50,0.85,365
51850,Queens,Private room,55,2,52,0.49,365
21158775,Brooklyn,Private room,319,1,52,2.48,365
28030557,Queens,Private room,110,1,52,4.92,365
2684223,Brooklyn,Private room,45,2,53,0.83,365
12425266,Brooklyn,Private room,60,2,53,1.37,365
254131,Queens,Private room,54,5,56,0.66,365
343971,Manhattan,Private room,89,1,56,0.64,365
676295,Queens,Private room,58,2,56,0.67,365
24834739,Brooklyn,Private room,59,2,56,4.06,365
5874326,Brooklyn,Private room,89,1,68,1.31,365
15328242,Queens,Private room,55,1,71,2.12,365
15754561,Bronx,Private room,80,2,77,2.37,365
20996070,Queens,Private room,55,1,77,3.58,365
125594,Brooklyn,Private room,39,1,82,0.94,365
21469568,Manhattan,Private room,129,1,83,4,365
32037,Brooklyn,Private room,135,4,84,0.77,365
10403922,Brooklyn,Private room,149,1,93,2.48,365
5925343,Brooklyn,Private room,259,1,94,1.85,365
14834733,Brooklyn,Private room,72,1,96,3.13,365
3908257,Brooklyn,Private room,75,2,99,1.67,365
4280053,Brooklyn,Private room,80,2,100,1.73,365
10249886,Manhattan,Private room,135,1,101,2.36,365
6428482,Manhattan,Private room,50,1,103,2.07,365
22000255,Manhattan,Private room,150,1,107,5.55,365
15756248,Manhattan,Private room,119,1,117,3.61,365
15049253,Queens,Private room,70,2,125,3.65,365
11044453,Manhattan,Private room,69,2,128,3.16,365
18075511,Manhattan,Private room,80,1,129,4.7,365
591135,Manhattan,Private room,125,1,132,1.75,365
13082571,Brooklyn,Private room,69,2,132,3.46,365
728498,Manhattan,Private room,80,1,135,1.67,365
3674757,Brooklyn,Private room,77,2,145,2.42,365
1971540,Manhattan,Private room,150,1,157,2.49,365
17682843,Queens,Private room,80,1,161,5.74,365
10185955,Queens,Private room,48,1,165,4.64,365
17707963,Queens,Private room,50,1,173,6.15,365
10316551,Brooklyn,Private room,99,1,176,4.14,365
