Manufacturer,Model,price,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency
Chevrolet,Metro,9235,1,55,93.1,62.6,149.4,1.895,10.3,45
Hyundai,Accent,9699,1.5,92,96.1,65.7,166.7,2.24,11.9,31
Mitsubishi,Mirage,13987,1.8,113,98.4,66.5,173.6,2.25,13.2,30
Saturn,SL,10685,1.9,100,102.4,66.4,176.9,2.332,12.1,33
Honda,Civic,12885,1.6,106,103.2,67.1,175.1,2.339,11.9,32
Saturn,SC,12535,1.9,100,102.4,66.4,180,2.367,12.1,33
Chevrolet,Prizm,13960,1.8,120,97.1,66.7,174.3,2.398,13.2,33
Toyota,Corolla,13108,1.8,120,97,66.7,174,2.42,13.2,33
Toyota,Celica,16875,1.8,140,102.4,68.3,170.5,2.425,14.5,31
Saturn,SW,14290,1.9,124,102.4,66.4,176.9,2.452,12.1,31
Ford,Escort,12070,2,110,98.4,67,174.7,2.468,12.7,30
Plymouth,Neon,12640,2,132,105,74.4,174.4,2.559,12.5,29
Ford,Focus,12315,2,107,103,66.9,174.8,2.564,13.2,30
Dodge,Neon,12640,2,132,105,74.4,174.4,2.567,12.5,29
Toyota,Tacoma,11528,2.4,142,103.3,66.5,178.7,2.58,15.1,23
Nissan,Sentra,13499,1.8,126,99.8,67.3,177.5,2.593,13.2,30
Hyundai,Elantra,11799,2,140,100.4,66.9,174,2.626,14.5,27
Acura,Integra,21500,1.8,140,101.2,67.3,172.4,2.639,13.2,28
Toyota,RAV4,16888,2,127,94.9,66.7,163.8,2.668,15.3,27
Chevrolet,Cavalier,13260,2.2,115,104.1,67.9,180.9,2.676,14.3,27
Volkswagen,GTI,17500,2,115,98.9,68.3,163.3,2.762,14.6,26
Volkswagen,Golf,14900,2,115,98.9,68.3,163.3,2.767,14.5,26
Volkswagen,Beetle,15900,2,115,98.9,67.9,161.1,2.769,14.5,26
Ford,Contour,17035,2.5,170,106.5,69.1,184.6,2.769,15,25
Mercury,Mystique,16240,2,125,106.5,69.1,184.8,2.769,15,28
Porsche,Boxter,41430,2.7,217,95.2,70.1,171,2.778,17,22
Plymouth,Prowler,43000,3.5,253,113.3,76.3,165.4,2.85,12,21
